CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size,Age_Group,Cluster
1,1.0,19,0.0789581732237043,0.39,Healthcare,1,4,Young,2
2,1.0,21,0.1842357375219767,0.81,Engineer,3,3,Young,2
3,0.0,20,0.4526935264825713,0.06,Engineer,1,1,Young,1
4,0.0,23,0.31056881467990355,0.77,Lawyer,0,2,Young,3
5,0.0,31,0.20002737216671754,0.4,Entertainment,2,6,Middle-aged,1
6,0.0,22,0.3053049364649899,0.76,Artist,0,2,Young,3
7,0.0,35,0.1631802246623222,0.06,Healthcare,1,3,Middle-aged,1
8,0.0,23,0.44216577005274404,0.9400000000000001,Healthcare,1,3,Young,3
9,1.0,64,0.5105961868466211,0.03,Engineer,0,3,Elder,2
10,0.0,30,0.5158600650615347,0.72,Artist,1,4,Middle-aged,3
11,1.0,67,0.036847147504395335,0.14,Engineer,1,3,Elder,2
12,0.0,35,0.4895406739869666,0.99,Healthcare,4,4,Middle-aged,3
13,0.0,58,0.4211102571930896,0.15,Executive,0,5,Senior,1
14,0.0,24,0.4790129175571394,0.77,Lawyer,1,1,Young,3
15,1.0,37,0.10001368608335877,0.13,Doctor,0,1,Middle-aged,2
16,1.0,22,0.2684577889605946,0.79,Healthcare,1,2,Young,2
17,0.0,35,0.15265246823249495,0.35000000000000003,Homemaker,9,5,Middle-aged,1
18,1.0,20,0.46848516112731214,0.66,Healthcare,1,6,Young,2
19,1.0,52,0.1052775642982724,0.29,Entertainment,1,4,Senior,2
20,0.0,35,0.3263604493246444,0.98,Artist,0,1,Middle-aged,3
21,1.0,35,0.5053323086317075,0.35000000000000003,Homemaker,12,1,Middle-aged,2
22,1.0,25,0.021055512859654478,0.73,Healthcare,3,4,Young,2
23,0.0,46,0.22108288502637202,0.05,Artist,13,2,Senior,1
24,1.0,31,0.373735353258867,0.73,Artist,5,2,Middle-aged,2
25,0.0,54,0.3526798403992125,0.14,Executive,1,3,Senior,1
26,1.0,29,0.2737216671755082,0.8200000000000001,Artist,1,3,Middle-aged,2
27,0.0,45,0.3579437186141261,0.32,Healthcare,9,8,Senior,1
28,1.0,35,0.4105825007632623,0.61,Artist,1,3,Middle-aged,2
29,0.0,40,0.09474980786844515,0.31,Artist,0,1,Middle-aged,1
30,0.0,23,0.1052775642982724,0.87,Artist,5,4,Young,3
31,1.0,60,0.20529125038163115,0.04,Artist,0,3,Senior,2
32,0.0,21,0.17897185930706305,0.73,Doctor,1,2,Young,3
33,1.0,53,0.31056881467990355,0.04,Healthcare,1,3,Senior,2
34,1.0,18,0.3263604493246444,0.92,Homemaker,9,7,Young,2
35,0.0,49,0.4790129175571394,0.14,Lawyer,1,2,Senior,1
36,0.0,21,0.5000684304167938,0.81,Healthcare,3,4,Young,3
37,0.0,42,0.07369429500879067,0.17,Doctor,5,1,Senior,1
38,0.0,30,0.3263604493246444,0.73,Healthcare,1,5,Middle-aged,3
39,0.0,36,0.04737490393422258,0.26,Artist,8,2,Middle-aged,1
40,0.0,20,0.36320759682903975,0.75,Artist,8,2,Young,3
41,0.0,65,0.1315969553728405,0.35000000000000003,Artist,4,1,Elder,1
42,1.0,24,0.4474296482676577,0.92,Healthcare,0,2,Young,2
43,1.0,48,0.11580532072809963,0.36,Artist,14,3,Senior,2
44,0.0,31,0.17370798109214944,0.61,Artist,1,2,Middle-aged,3
45,0.0,49,0.3789992314737806,0.28,Engineer,8,1,Senior,1
46,0.0,24,0.01579163464474086,0.65,Lawyer,4,2,Young,3
47,0.0,50,0.2737216671755082,0.55,Artist,0,4,Senior,3
48,0.0,27,0.373735353258867,0.47000000000000003,Healthcare,12,1,Middle-aged,1
49,0.0,29,0.4105825007632623,0.42,Healthcare,0,4,Middle-aged,1
